rank,RegionName,City,StateName,Metro,predicted_12m_appreciation
1,38720,Clarksdale,MS,"Clarksdale, MS",0.19816506
2,40210,Louisville,KY,"Louisville/Jefferson County, KY-IN",0.19297694
3,67485,Tipton,KS,,0.18875246
4,66951,Agra,KS,,0.18762758
5,67446,Glen Elder,KS,,0.18591776
6,67731,Bird City,KS,,0.18501818
7,67756,Saint Francis,KS,,0.18363845
8,66403,Axtell,KS,,0.18284148
9,59480,Stockett,MT,"Great Falls, MT",0.18096621
10,53206,Milwaukee,WI,"Milwaukee-Waukesha, WI",0.17966048
11,67656,Ogallah,KS,,0.17891797
12,27935,Eure,NC,"Virginia Beach-Norfolk-Newport News, VA-NC",0.17578307
13,59032,Grass Range,MT,,0.17357655
14,38769,Rosedale,MS,"Cleveland, MS",0.17328298
15,17104,Harrisburg,PA,"Harrisburg-Carlisle, PA",0.17253603
16,39203,Jackson,MS,"Jackson, MS",0.1715114
17,59337,Jordan,MT,,0.16426031
18,27937,Gates,NC,"Virginia Beach-Norfolk-Newport News, VA-NC",0.16392021
19,16343,Reno,PA,"Oil City, PA",0.16385975
20,69148,Lisco,NE,,0.16337536
21,70358,Grand Isle,LA,"New Orleans-Metairie, LA",0.16219257
22,65284,Sturgeon,MO,"Columbia, MO",0.16214703
23,59463,Monarch,MT,"Great Falls, MT",0.16207615
24,66554,Randolph,KS,"Manhattan, KS",0.16167559
25,39204,Jackson,MS,"Jackson, MS",0.16114792
26,27979,Hobbsville,NC,"Virginia Beach-Norfolk-Newport News, VA-NC",0.16111325
27,69032,Hayes Center,NE,,0.16050948
28,39209,Jackson,MS,"Jackson, MS",0.15932934
29,47011,Bennington,IN,,0.15838361
30,47020,Florence,IN,,0.15768857
31,69352,Lyman,NE,"Scottsbluff, NE",0.15685382
32,18452,Peckville,PA,"Scranton--Wilkes-Barre, PA",0.15590346
33,10025,New York,NY,"New York-Newark-Jersey City, NY-NJ-PA",0.15574618
34,59416,Brady,MT,,0.15443434
35,74569,Stringtown,OK,,0.15414622
36,25045,Clendenin,WV,"Charleston, WV",0.1540135
37,59324,Ekalaka,MT,,0.15233068
38,65243,,MO,"Columbia, MO",0.14879389
39,76458,Jacksboro,TX,,0.14855164
40,39743,Crawford,MS,"Columbus, MS",0.14818856
41,66777,,KS,,0.14728414
42,64480,Rea,MO,"St. Joseph, MO-KS",0.14657335
43,59412,Belt,MT,"Great Falls, MT",0.1452767
44,25431,Levels,WV,"Winchester, VA-WV",0.14509422
45,59414,Black Eagle,MT,"Great Falls, MT",0.14477088
46,61564,Pekin,IL,"Peoria, IL",0.14439733
47,47043,Vevay,IN,,0.14407417
48,66008,Bendena,KS,"St. Joseph, MO-KS",0.14390028
49,59447,Geyser,MT,,0.14372756
50,63876,Senath,MO,"Kennett, MO",0.14281291
51,59087,Winnett,MT,,0.14256679
52,59465,Neihart,MT,"Great Falls, MT",0.14225768
53,66449,Leonardville,KS,"Manhattan, KS",0.1422126
54,19604,Reading,PA,"Reading, PA",0.14130615
55,66945,Hanover,KS,,0.14120148
56,45877,Pandora,OH,,0.14108427
57,6120,Hartford,CT,"Hartford-East Hartford-Middletown, CT",0.13958976
58,40472,Ravenna,KY,"Richmond-Berea, KY",0.13920961
59,59069,Reed Point,MT,"Billings, MT",0.13892274
60,52048,,IA,,0.1384366
61,27938,Gatesville,NC,"Virginia Beach-Norfolk-Newport News, VA-NC",0.13818407
62,27946,Hobbsville,NC,"Virginia Beach-Norfolk-Newport News, VA-NC",0.13787533
63,18447,Olyphant,PA,"Scranton--Wilkes-Barre, PA",0.13611491
64,67467,Minneapolis,KS,"Salina, KS",0.1359542
65,59472,Sand Coulee,MT,"Great Falls, MT",0.135809
66,63091,Rosebud,MO,"St. Louis, MO-IL",0.13574687
67,7603,Bogota,NJ,"New York-Newark-Jersey City, NY-NJ-PA",0.13543016
68,8066,West Deptford Township,NJ,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0.13523956
69,61833,Danville,IL,"Danville, IL",0.13493523
70,39086,Utica,MS,"Jackson, MS",0.1344797
71,19601,Reading,PA,"Reading, PA",0.13443665
72,82732,Wright,WY,"Gillette, WY",0.13442703
73,47038,Patriot,IN,,0.13422346
74,77475,Hallettsville,TX,,0.13418165
75,46986,Swayzee,IN,"Marion, IN",0.13400403
76,83101,Kemmerer,WY,,0.1339539
77,27926,Corapeake,NC,"Virginia Beach-Norfolk-Newport News, VA-NC",0.13390893
78,15444,Hiller,PA,"Pittsburgh, PA",0.13305816
79,10075,New York,NY,"New York-Newark-Jersey City, NY-NJ-PA",0.132987
80,63134,Berkeley,MO,"St. Louis, MO-IL",0.13230711
81,59489,,MT,,0.13190037
82,66094,White Cloud,KS,"St. Joseph, MO-KS",0.13189416
83,48745,Mikado,MI,,0.13062304
84,61842,Farmer City,IL,"Bloomington, IL",0.13025329
85,64436,Cosby,MO,"St. Joseph, MO-KS",0.12983884
86,59523,Chinook,MT,,0.12980609
87,68774,Saint Helena,NE,,0.12973249
88,54805,Almena,WI,,0.12921752
89,18444,Moscow,PA,"Scranton--Wilkes-Barre, PA",0.12889285
90,67867,Montezuma,KS,,0.12885724
91,64021,Corder,MO,"Kansas City, MO-KS",0.12865907
92,67876,Spearville,KS,"Dodge City, KS",0.12838548
93,10032,New York,NY,"New York-Newark-Jersey City, NY-NJ-PA",0.12800375
94,54440,Hatley,WI,"Wausau-Weston, WI",0.12757017
95,65345,Mora,MO,"Sedalia, MO",0.1272181
96,26722,Green Spring,WV,"Winchester, VA-WV",0.12697299
97,73601,Clinton,OK,"Weatherford, OK",0.12673825
98,67657,Palco,KS,,0.12634742
99,68020,Decatur,NE,,0.12614502
100,17931,Frackville,PA,"Pottsville, PA",0.12568852
101,65061,Morrison,MO,"Jefferson City, MO",0.1255532
102,6320,New London,CT,"Norwich-New London, CT",0.1253723
103,58474,Oakes,ND,,0.12533681
104,66783,Yates Center,KS,,0.12503976
105,46346,Kingsford Heights,IN,"Michigan City-La Porte, IN",0.12498452
106,65244,Clifton Hill,MO,"Moberly, MO",0.12465395
107,61956,Villa Grove,IL,"Champaign-Urbana, IL",0.12462495
108,63463,Philadelphia,MO,"Hannibal, MO",0.12390074
109,52072,Saint Olaf,IA,,0.123866715
110,68045,Oakland,NE,,0.12359443
111,49837,Gladstone,MI,"Escanaba, MI",0.12337445
112,59050,Lodge Grass,MT,,0.12291777
113,66968,Washington,KS,,0.12265654
114,59430,Denton,MT,,0.12264749
115,39179,Vaughan,MS,"Jackson, MS",0.12257391
116,67491,Windom,KS,"McPherson, KS",0.12247608
117,67757,Selden,KS,,0.1223479
118,40601,Frankfort,KY,"Frankfort, KY",0.12228223
119,60921,Chatsworth,IL,"Pontiac, IL",0.12216928
120,65014,Bland,MO,"Jefferson City, MO",0.122135036
121,64074,Bates City,MO,"Kansas City, MO-KS",0.122125454
122,53204,Milwaukee,WI,"Milwaukee-Waukesha, WI",0.12211306
123,72685,Western Grove,AR,"Harrison, AR",0.122090146
124,54930,Coloma,WI,,0.12184176
125,45831,Continental,OH,,0.12183468
126,18509,Scranton,PA,"Scranton--Wilkes-Barre, PA",0.121741615
127,39063,Durant,MS,"Jackson, MS",0.12158371
128,25504,Barboursville,WV,"Huntington-Ashland, WV-KY-OH",0.12130005
129,40118,Louisville,KY,"Louisville/Jefferson County, KY-IN",0.12115218
130,10037,New York,NY,"New York-Newark-Jersey City, NY-NJ-PA",0.12097855
131,61051,Milledgeville,IL,,0.12086776
132,41727,Chavies,KY,,0.1206274
133,24927,Marlinton,WV,,0.12009573
134,66532,,KS,"St. Joseph, MO-KS",0.12001399
135,60953,Milford,IL,,0.11996774
136,18504,Scranton,PA,"Scranton--Wilkes-Barre, PA",0.11943314
137,66943,Greenleaf,KS,,0.11934491
